animal	DOB	sex	study	study2	DateStudy	Age	Rearing	Rearing2	Rearing3	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	ID	Age group
ABBEY 2105	32955	F	1	1	01/03/2010	19	W	M	W	NA	NA	0	Video	Diet	2	0	2	ABBEY 2105	3
ADONIS 3521	27434	M	1	1	01/03/2010	35	M	M	C	NA	NA	0	Video	Diet	4	0	4	ADONIS 3521	4
AHNI 6104	34721	F	1	1	01/03/2010	15	M	M	C	1	0	1	Video	Diet	4	1	2	AHNI 6104	2
AJAX 3912	28491	M	1	1	01/03/2010	32	U	U	U	NA	NA	0	Video	Diet	6	0	6	AJAX 3912	3
AKIMEL 4152	29260	M	1	1	01/03/2010	30	N	N	C	1	0	1	Video	Diet	6	1	3	AKIMEL 4152	3
ALEX 5188	31412	M	1	1	01/03/2010	24	M	M	C	NA	NA	0	Video	Diet	6	0	5	ALEX 5188	3
ALLIE 5540	32622	F	1	1	01/03/2010	20	N	N	C	NA	NA	0	Video	Diet	0	0	0	ALLIE 5540	3
ALPHA 5066	30994	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	7	0	6	ALPHA 5066	3
ANGIE 3462	27395	F	1	1	01/03/2010	35	W	M	W	NA	NA	0	Video	Diet	5	0	1	ANGIE 3462	4
ARMOND 9728	31720	M	1	1	01/03/2010	23	U	U	U	NA	NA	0	Video	Diet	5	0	5	ARMOND 9728	3
APRIL 420	29341	F	1	1	01/03/2010	29	M	M	C	NA	NA	0	Video	Diet	4	0	3	APRIL 420	3
AUSTIN 5803	33608	M	1	1	01/03/2010	18	M	M	C	NA	NA	0	Video	Diet	5	0	2	AUSTIN 5803	3
BAHN 4523	30012	M	1	1	01/03/2010	28	M	M	C	NA	NA	0	Video	Diet	3	0	1	BAHN 4523	3
BART 5630	32955	M	1	1	01/03/2010	19	N	N	C	NA	NA	0	Video	Diet	2	0	2	BART 5630	3
BASHFUL 1768	24108	F	1	1	01/03/2010	44	W	M	W	NA	NA	0	Video	Diet	1	0	1	BASHFUL 1768	4
BECCA 5717	33280	F	1	1	01/03/2010	19	N	N	C	1	0	1	Video	Diet	5	1	4	BECCA 5717	3
BERNADETTE 3867	28539	F	1	1	01/03/2010	32	N	N	C	1	0	1	Video	Diet	8	1	4	BERNADETTE 3867	3
BERNIE 1929	24473	F	1	1	01/03/2010	43	W	M	W	NA	NA	0	Video	Diet	3	0	3	BERNIE 1929	4
BETA 6039	34508	F	1	1	01/03/2010	15	M	M	C	NA	NA	0	Video	Diet	5	0	4	BETA 6039	2
BETSY 1856	23743	F	1	1	01/03/2010	45	W	M	W	NA	NA	0	Video	Diet	3	0	3	BETSY 1856	4
BETTY 3440	27277	F	1	1	01/03/2010	35	M	M	C	NA	NA	0	Video	Diet	7	0	6	BETTY 3440	4
BILLY 5957	34136	M	1	1	01/03/2010	16	M	M	C	NA	NA	0	Video	Diet	6	0	4	BILLY 5957	3
BISCHK 5180	31388	F	1	1	01/03/2010	24	M	M	C	NA	NA	0	Video	Diet	1	0	0	BISCHK 5180	3
BO 5951	34105	M	1	1	01/03/2010	16	M	M	C	NA	NA	0	Video	Diet	5	0	4	BO 5951	3
BRENDA 2768	26299	F	1	1	01/03/2010	38	W	M	W	NA	NA	0	Video	Diet	4	0	4	BRENDA 2768	4
BRIA 6167	34942	F	1	1	01/03/2010	14	M	M	C	NA	NA	0	Video	Diet	6	0	4	BRIA 6167	2
BRUCE 3402	27365	M	1	1	01/03/2010	35	U	U	U	NA	NA	0	Video	Diet	0	0	0	BRUCE 3402	4
CASSIE 5555	32662	F	1	1	01/03/2010	20	M	M	C	NA	NA	0	Video	Diet	6	0	4	CASSIE 5555	3
CATHERINE 4015	28897	F	1	1	01/03/2010	31	M	M	C	NA	NA	0	Video	Diet	1	0	0	CATHERINE 4015	3
CECELIA 5721	33293	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	9	0	4	CECELIA 5721	3
CESAR 5383	32064	M	1	1	01/03/2010	22	N	N	C	NA	NA	0	Video	Diet	0	0	0	CESAR 5383	3
CHECHEKUL 4544	30074	F	1	1	01/03/2010	27	N	N	C	NA	NA	0	Video	Diet	0	0	0	CHECHEKUL 4544	3
CHEOPI 6493	33216	F	1	1	01/03/2010	19	N	N	C	NA	NA	0	Video	Diet	5	0	2	CHEOPI 6493	3
CHESTER 6208	35097	M	1	1	01/03/2010	14	M	M	C	NA	NA	0	Video	Diet	6	0	2	CHESTER 6208	2
CHINOOK 5465	32380	M	1	1	01/03/2010	21	U	U	U	NA	NA	0	Video	Diet	7	0	5	CHINOOK 5465	3
CHRISSY 2525	25563	F	1	1	01/03/2010	40	M	M	C	0	-1	0	Video	Diet	2	1	1	CHRISSY 2525	4
CHUHIA 4244	29478	F	1	1	01/03/2010	29	M	M	C	NA	NA	0	Video	Diet	2	0	1	CHUHIA 4244	3
COCO 5061	30914	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	3	0	1	COCO 5061	3
CODY 5618	32909	M	1	1	01/03/2010	20	M	M	C	NA	NA	0	Video	Diet	3	0	2	CODY 5618	3
CORDOVA 2763	26299	M	1	1	01/03/2010	38	W	M	W	NA	NA	0	Video	Diet	2	0	1	CORDOVA 2763	4
CYBILL 6182	35030	F	1	1	01/03/2010	14	M	M	C	NA	NA	0	Video	Diet	0	0	0	CYBILL 6182	2
DAHPI 5130	31262	F	1	1	01/03/2010	24	M	M	C	NA	NA	0	Video	Diet	2	0	0	DAHPI 5130	3
DODA 4654	30336	F	1	1	01/03/2010	27	N	N	C	1	0	1	Video	Diet	3	1	1	DODA 4654	3
DOYLE 4721	30458	M	1	1	01/03/2010	26	M	M	C	NA	NA	0	Video	Diet	5	0	4	DOYLE 4721	3
EESHA 5229	31492	F	1	1	01/03/2010	23	N	N	C	NA	NA	0	Video	Diet	0	0	0	EESHA 5229	3
EHSTO 6174	34978	M	1	1	01/03/2010	14	M	M	C	NA	NA	0	Video	Diet	4	0	2	EHSTO 6174	2
EMILY 5073	31006	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	6	0	4	EMILY 5073	3
ENIGA 10245	31167	F	1	1	01/03/2010	24	M	M	C	NA	NA	0	Video	Diet	2	0	0	ENIGA 10245	3
GAGE 7153	36950	M	1	1	01/03/2010	9	M	M	C	NA	NA	0	Video	Diet	6	0	5	GAGE 7153	2
GAYGOS 5787	33551	M	1	1	01/03/2010	18	N	N	C	0	-1	0	Video	Diet	5	1	2	GAYGOS 5787	3
GERTRUDE 2201	24838	F	1	1	01/03/2010	42	W	M	W	0	-1	0	Video	Diet	6	1	5	GERTRUDE 2201	4
GIGI 1732	22647	F	1	1	01/03/2010	48	W	M	W	NA	NA	0	Video	Diet	5	0	4	GIGI 1732	4
GIMP 9696	25204	M	1	1	01/03/2010	41	W	M	W	NA	NA	0	Video	Diet	5	0	4	GIMP 9696	4
GISOKI 4746	30607	M	1	1	01/03/2010	26	M	M	C	NA	NA	0	Video	Diet	2	0	1	GISOKI 4746	3
GLENDA 2108	24473	F	1	1	01/03/2010	43	W	M	W	NA	NA	0	Video	Diet	2	0	2	GLENDA 2108	4
GRACIE 5867	33851	F	1	1	01/03/2010	17	N	N	C	NA	NA	0	Video	Diet	3	0	1	GRACIE 5867	3
GREMLIN 2601	25934	M	1	1	01/03/2010	39	W	M	W	NA	NA	0	Video	Diet	2	0	1	GREMLIN 2601	4
HAAKID 5797	33602	M	1	1	01/03/2010	18	M	M	C	NA	NA	0	Video	Diet	4	0	2	HAAKID 5797	3
HANNAH 5691	33219	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	6	0	2	HANNAH 5691	3
HAPPY 3741	28124	F	1	1	01/03/2010	33	U	U	U	NA	NA	0	Video	Diet	0	0	0	HAPPY 3741	3
HAPPY P 1407	22647	F	1	1	01/03/2010	48	W	M	W	NA	NA	0	Video	Diet	0	0	0	HAPPY P 1407	4
HELGA 2006	24108	F	1	1	01/03/2010	44	W	M	W	NA	NA	0	Video	Diet	4	0	3	HELGA 2006	4
HENRYET 2602	26299	F	1	1	01/03/2010	38	W	M	W	NA	NA	0	Video	Diet	0	0	0	HENRYET 2602	4
HOBBES 5659	33071	M	1	1	01/03/2010	19	N	N	C	0	-1	0	Video	Diet	5	1	4	HOBBES 5659	3
HODARI 5941	34061	F	1	1	01/03/2010	16	M	M	C	NA	NA	0	Video	Diet	5	0	4	HODARI 5941	3
HUEY 5687	33189	M	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	4	0	4	HUEY 5687	3
HUG 6377	35748	F	1	1	01/03/2010	12	M	M	C	NA	NA	0	Video	Diet	1	0	0	HUG 6377	2
HUHKALIG 4703	30395	M	1	1	01/03/2010	26	M	M	C	1	0	1	Video	Diet	4	1	2	HUHKALIG 4703	3
HUHNI 6046	34562	M	1	1	01/03/2010	15	M	M	C	NA	NA	0	Video	Diet	2	0	1	HUHNI 6046	2
IDANI 5048	30893	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	2	0	0	IDANI 5048	3
INDIA 5276	31729	F	1	1	01/03/2010	23	N	N	C	NA	NA	0	Video	Diet	1	0	1	INDIA 5276	3
IRIS 5835	33732	F	1	1	01/03/2010	17	N	N	C	NA	NA	0	Video	Diet	0	0	0	IRIS 5835	3
JAKE 5658	33045	M	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	2	0	1	JAKE 5658	3
JANA 5430	32218	F	1	1	01/03/2010	21	M	M	C	NA	NA	0	Video	Diet	4	0	3	JANA 5430	3
JANE 2830	25934	F	1	1	01/03/2010	39	W	M	W	0	-1	0	Video	Diet	6	1	5	JANE 2830	4
JAYME 4047	28997	F	1	1	01/03/2010	30	N	N	C	NA	NA	0	Video	Diet	0	0	0	JAYME 4047	3
JESSIE 5905	33988	F	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	5	0	3	JESSIE 5905	3
JOEY 3033	26299	M	1	1	01/03/2010	38	W	M	W	NA	NA	0	Video	Diet	6	0	5	JOEY 3033	4
JOSIE 5626	32936	F	1	1	01/03/2010	20	M	M	C	NA	NA	0	Video	Diet	5	0	1	JOSIE 5626	3
JOYCE 3865	28518	F	1	1	01/03/2010	32	U	U	U	NA	NA	0	Video	Diet	0	0	0	JOYCE 3865	3
JUDUMI 5676	33111	M	1	1	01/03/2010	19	N	N	C	1	0	1	Video	Diet	6	1	3	JUDUMI 5676	3
JUDY 2170	24838	F	1	1	01/03/2010	42	W	M	W	NA	NA	0	Video	Diet	5	0	4	JUDY 2170	4
JUNIE 2243	24108	F	1	1	01/03/2010	44	W	M	W	NA	NA	0	Video	Diet	1	0	1	JUNIE 2243	4
KAKAICHU 4305	29566	F	1	1	01/03/2010	29	M	M	C	1	0	1	Video	Diet	3	1	1	KAKAICHU 4305	3
KALIONI 4441	29863	M	1	1	01/03/2010	28	M	M	C	1	0	1	Video	Diet	6	1	3	KALIONI 4441	3
KAMPANI 5711	33266	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	1	0	0	KAMPANI 5711	3
KAREEM 6880	32512	M	1	1	01/03/2010	21	U	U	U	NA	NA	0	Video	Diet	2	0	2	KAREEM 6880	3
KARIN 1422	22647	F	1	1	01/03/2010	48	W	M	W	NA	NA	0	Video	Diet	3	0	3	KARIN 1422	4
KAYA 5679	33137	F	1	1	01/03/2010	19	N	N	C	NA	NA	0	Video	Diet	1	0	1	KAYA 5679	3
KEHG 4540	30071	M	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	3	0	1	KEHG 4540	3
KELLEY 2107	24108	F	1	1	01/03/2010	44	W	M	W	NA	NA	0	Video	Diet	5	0	4	KELLEY 2107	4
KENO 5753	33402	M	1	1	01/03/2010	18	N	N	C	1	0	1	Video	Diet	5	1	4	KENO 5753	3
KIA 5377	32035	F	1	1	01/03/2010	22	M	M	C	NA	NA	0	Video	Diet	1	0	0	KIA 5377	3
KIHT 5461	32361	F	1	1	01/03/2010	21	N	N	C	NA	NA	0	Video	Diet	5	0	2	KIHT 5461	3
KOBI 3020	26299	M	1	1	01/03/2010	38	W	M	W	1	0	1	Video	Diet	5	1	1	KOBI 3020	4
KROG 5823	33671	M	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	1	0	1	KROG 5823	3
KUDZU 4639	30292	M	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	5	0	4	KUDZU 4639	3
KUHTA 4162	29291	M	1	1	01/03/2010	29	M	M	C	1	0	1	Video	Diet	5	1	2	KUHTA 4162	3
KUKUI 5035	30796	M	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	2	0	1	KUKUI 5035	3
LACEY 3915	28605	F	1	1	01/03/2010	31	U	U	U	NA	NA	0	Video	Diet	2	0	2	LACEY 3915	3
LEXUS 6396	35849	F	1	1	01/03/2010	12	M	M	C	NA	NA	0	Video	Diet	6	0	5	LEXUS 6396	2
LULU 4510	29967	F	1	1	01/03/2010	28	M	M	C	NA	NA	0	Video	Diet	5	0	3	LULU 4510	3
LYLE 6427	36106	M	1	1	01/03/2010	11	M	M	C	NA	NA	0	Video	Diet	6	0	4	LYLE 6427	2
MAE 2242	23743	F	1	1	01/03/2010	45	W	M	W	NA	NA	0	Video	Diet	3	0	2	MAE 2242	4
MAGIC 5855	33809	M	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	7	0	5	MAGIC 5855	3
MAHI 5650	33034	F	1	1	01/03/2010	19	M	M	C	NA	NA	0	Video	Diet	3	0	1	MAHI 5650	3
MAHSHO 5480	32442	M	1	1	01/03/2010	21	M	M	C	NA	NA	0	Video	Diet	5	0	2	MAHSHO 5480	3
MAISHPA 4520	30007	F	1	1	01/03/2010	28	N	N	C	1	0	1	Video	Diet	4	1	1	MAISHPA 4520	3
MANDY 5062	30933	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	6	0	4	MANDY 5062	3
MARCUS 5789	33560	M	1	1	01/03/2010	18	M	M	C	NA	NA	0	Video	Diet	3	0	2	MARCUS 5789	3
MARTHA 2429	24108	F	1	1	01/03/2010	44	W	M	W	NA	NA	0	Video	Diet	9	0	6	MARTHA 2429	4
MARTIN 5883	33959	M	1	1	01/03/2010	17	M	M	C	NA	NA	0	Video	Diet	6	0	5	MARTIN 5883	3
MARY 1855	23743	F	1	1	01/03/2010	45	W	M	W	NA	NA	0	Video	Diet	7	0	4	MARY 1855	4
MAXI 5360	31978	F	1	1	01/03/2010	22	N	N	C	0	-1	0	Video	Diet	3	1	2	MAXI 5360	3
MAYNARD 2200	26299	M	1	1	01/03/2010	38	W	M	W	0	-1	0	Video	Diet	9	1	7	MAYNARD 2200	4
MICHON 4648	30314	F	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	6	0	5	MICHON 4648	3
MILONI 5050	30940	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	1	0	0	MILONI 5050	3
MISCHINI 5301	31778	F	1	1	01/03/2010	23	M	M	C	NA	NA	0	Video	Diet	1	0	0	MISCHINI 5301	3
MISTY 5042	30850	F	1	1	01/03/2010	25	U	U	U	NA	NA	0	Video	Diet	3	0	3	MISTY 5042	3
MONIQUE 5769	33480	F	1	1	01/03/2010	18	M	M	C	NA	NA	0	Video	Diet	4	0	4	MONIQUE 5769	3
MOOSE 2045	25569	M	1	1	01/03/2010	40	W	M	W	1	0	1	Video	Diet	10	1	7	MOOSE 2045	4
MUFFIN 4345	29676	F	1	1	01/03/2010	28	M	M	C	NA	NA	0	Video	Diet	5	0	4	MUFFIN 4345	3
NAHAGIO 4532	30037	F	1	1	01/03/2010	27	M	M	C	NA	NA	0	Video	Diet	3	0	1	NAHAGIO 4532	3
NAHJA 5664	33058	F	1	1	01/03/2010	19	N	N	C	NA	NA	0	Video	Diet	6	0	2	NAHJA 5664	3
NAHKO 5295	31731	M	1	1	01/03/2010	23	M	M	C	NA	NA	0	Video	Diet	2	0	0	NAHKO 5295	3
NICK 5432	32240	M	1	1	01/03/2010	21	M	M	C	NA	NA	0	Video	Diet	7	0	6	NICK 5432	3
NINA 4760	30654	F	1	1	01/03/2010	26	M	M	C	NA	NA	0	Video	Diet	4	0	4	NINA 4760	3
NOWI 4716	30448	M	1	1	01/03/2010	26	M	M	C	NA	NA	0	Video	Diet	4	0	2	NOWI 4716	3
OKI 5080	30999	F	1	1	01/03/2010	25	M	M	C	1	0	1	Video	Diet	4	1	1	OKI 5080	3
OREO 5315	31804	F	1	1	01/03/2010	23	N	N	C	NA	NA	0	Video	Diet	2	0	2	OREO 5315	3
OSCAR 5563	32702	M	1	1	01/03/2010	20	N	N	C	1	0	1	Video	Diet	3	1	2	OSCAR 5563	3
PACER 2957	25934	M	1	1	01/03/2010	39	W	M	W	NA	NA	0	Video	Diet	2	0	2	PACER 2957	4
PAHSTIHL 5221	31467	F	1	1	01/03/2010	24	N	N	C	NA	NA	0	Video	Diet	2	0	0	PAHSTIHL 5221	3
PATTI 2371	25204	F	1	1	01/03/2010	41	W	M	W	NA	NA	0	Video	Diet	2	0	2	PATTI 2371	4
PECOS 5421	32201	M	1	1	01/03/2010	22	M	M	C	NA	NA	0	Video	Diet	5	0	5	PECOS 5421	3
PEHGIA 5047	30860	F	1	1	01/03/2010	25	M	M	C	NA	NA	0	Video	Diet	1	0	0	PEHGIA 5047	3
PEPPER 2106	24473	F	1	1	01/03/2010	43	W	M	W	0	-1	0	Video	Diet	9	1	5	PEPPER 2106	4
