ID,DOB,sex,study,DateStudy,Age,Rearing,RawScore,AdjScore,Context,Task,TotalExp,NowExp,Participated,
ABBEY 2105,23/03/1990,F,1,01/03/2010,19,W,NA,NA,Video,Diet,2,NA,0,
ADONIS 3521,09/02/1975,M,1,01/03/2010,35,M,NA,NA,Video,Diet,4,NA,0,
AHNI 6104,22/01/1995,F,1,01/03/2010,15,M,1,0,Video,Diet,4,NA,1,
AJAX 3912,01/01/1978,M,1,01/03/2010,32,U,NA,NA,Video,Diet,6,NA,0,
AKIMEL 4152,09/02/1980,M,1,01/03/2010,30,N,1,0,Video,Diet,6,NA,1,
ALEX 5188,31/12/1985,M,1,01/03/2010,24,M,NA,NA,Video,Diet,6,NA,0,
ALLIE 5540,24/04/1989,F,1,01/03/2010,20,N,NA,NA,Video,Diet,0,NA,0,
ALPHA 5066,08/11/1984,F,1,01/03/2010,25,M,NA,NA,Video,Diet,7,NA,0,
ANGIE 3462,01/01/1975,F,1,01/03/2010,35,W,NA,NA,Video,Diet,5,NA,0,
ARMOND 9728,04/11/1986,M,1,01/03/2010,23,U,NA,NA,Video,Diet,5,NA,0,
APRIL 4205,30/04/1980,F,1,01/03/2010,29,M,NA,NA,Video,Diet,4,NA,0,
AUSTIN 5803,05/01/1992,M,1,01/03/2010,18,M,NA,NA,Video,Diet,5,NA,0,
BAHN 4523,02/03/1982,M,1,01/03/2010,28,M,NA,NA,Video,Diet,3,NA,0,
BART 5630,23/03/1990,M,1,01/03/2010,19,N,NA,NA,Video,Diet,2,NA,0,
BASHFUL 1768,01/01/1966,F,1,01/03/2010,44,W,NA,NA,Video,Diet,1,NA,0,
BECCA 5717,11/02/1991,F,1,01/03/2010,19,N,1,0,Video,Diet,5,NA,1,
BERNADETTE 3867,18/02/1978,F,1,01/03/2010,32,N,1,0,Video,Diet,8,NA,1,
BERNIE 1929,01/01/1967,F,1,01/03/2010,43,W,NA,NA,Video,Diet,3,NA,0,
BETA 6039,23/06/1994,F,1,01/03/2010,15,M,NA,NA,Video,Diet,5,NA,0,
BETSY 1856,01/01/1965,F,1,01/03/2010,45,W,NA,NA,Video,Diet,3,NA,0,
BETTY 3440,05/09/1974,F,1,01/03/2010,35,M,NA,NA,Video,Diet,7,NA,0,
BILLY 5957,16/06/1993,M,1,01/03/2010,16,M,NA,NA,Video,Diet,6,NA,0,
BISCHK 5180,07/12/1985,F,1,01/03/2010,24,M,NA,NA,Video,Diet,1,NA,0,
BO 5951,16/05/1993,M,1,01/03/2010,16,M,NA,NA,Video,Diet,5,NA,0,
BRENDA 2768,01/01/1972,F,1,01/03/2010,38,W,NA,NA,Video,Diet,4,NA,0,
BRIA 6167,31/08/1995,F,1,01/03/2010,14,M,NA,NA,Video,Diet,6,NA,0,
BRUCE 3402,02/12/1974,M,1,01/03/2010,35,U,NA,NA,Video,Diet,0,NA,0,
CASSIE 5555,03/06/1989,F,1,01/03/2010,20,M,NA,NA,Video,Diet,6,NA,0,
CATHERINE 4015,11/02/1979,F,1,01/03/2010,31,M,NA,NA,Video,Diet,1,NA,0,
CECELIA 5721,24/02/1991,F,1,01/03/2010,19,M,NA,NA,Video,Diet,9,NA,0,
CESAR 5383,14/10/1987,M,1,01/03/2010,22,N,NA,NA,Video,Diet,0,NA,0,
CHECHEKUL 4544,03/05/1982,F,1,01/03/2010,27,N,NA,NA,Video,Diet,0,NA,0,
CHEOPI 6493,09/12/1990,F,1,01/03/2010,19,N,NA,NA,Video,Diet,5,NA,0,
CHESTER 6208,02/02/1996,M,1,01/03/2010,14,M,NA,NA,Video,Diet,6,NA,0,
CHINOOK 5465,25/08/1988,M,1,01/03/2010,21,U,NA,NA,Video,Diet,7,NA,0,
CHRISSY 2525,26/12/1969,F,1,01/03/2010,40,M,0,-1,Video,Diet,2,NA,1,
