id,dam,sire
A185F,NA,NA
A237G,NA,NA
ABBEY,NA,NA
ACE,HENRYET (2602),MWELU (3866)
ADONIS,PRUDE (unk),LES (unk)
AGATHA,BASHFUL (1768),WILLY (1767)
AHNI,DAHPI (5130),REEUH (5294)
AJAX,NA,NA
AKIMEL,SABRINA (2167),SAMMY (2036)
ALEX,GERTRUDE (2201),MOOSE (2045)
Alison,NA,NA
ALLIE,LACEY (3915),PERRY (1549)
Allison,NA,NA
ALPHA,TOPSEY (3745),BABU (2946)
Alvin,NA,NA
AMY,MOLLIE (0235),BIG DADDY (9698)
ANGEL,NA,NA
ANGIE,NA,NA
ANN,NA,NA
Aphrodite,NA,NA
APRIL,POLLY (1756),SHADOW (1755)
ARIEL,GERTRUDE (2201),DALTON 1063
ARMOND,SHUSHU (unk),BOY (2039)
ASHLEY,BETH (3001),ROGER (2246)
AUSTIN,RHODA (1841),GREMLIN (2601)
AXEL,MAE (2242),NA
AYLA,AGATHA (4141),NA
BABU,NA,NA
BAHN,TANG (2169),STU (unk)
Bam Bam I,NA,NA
BANDIT,NA,NA
BANZAI,ABBEY (2105),NA
BARASH,NA,NA
BARBIE,BETH (3001),NA
BARNEY,HENRYET (2602),KING (2435)
BART,APRIL (4205),CORDOVA (2763)
BASHFUL,NA,NA
Bea,NA,NA
BECCA,BETSY (1856),NA
BELINDA,NA,NA
BELLA,NA,NA
BERNADETTE,APHRODITE (unk),WALTER (unk)
BERNIE,NA,NA
BERTHA,ROSIE (3459),NA
BETA,ALPHA (5066),NA
BETH,NA,NA
BETSY,NA,NA
BETTY,BIDO (1731),ROCK (1730)
BIDO,NA,NA
BIG_DADDY,NA,NA
BIKIRA,BIDO (1731),LARRY 7760
BILLY,BETTY (3440),PUNCH (4647)
BISCHK,APHRODITE (unk),SIMBA (2724)
BLUE,HENRYET (2602),ROGER (2246)
BO,BASHFUL (1768),KUDZU (4639)
BOB,NA,NA
BOY,NA,NA
BRADLEY,STELLA 834,LOU 478
BRENDA,NA,NA
BRENT,NA,NA
BRIA,POLLY (1756),NA
Brownie,NA,NA
BRUCE,NA,NA
BUDDA,NA,NA
BUSTER,ROSIE (3459),ROGER (2246)
