animal	dam	sire
A185F	NA	NA
A237G	NA	NA
ABBEY 2105	NA	NA
ACE 5389	HENRYET 2602	MWELU 3866
ADONIS 3521	PRUDE UNK	LES UNK
AGATHA 4141	BASHFUL 1768	WILLY 1767
AHNI 6104	DAHPI 5130	REEUH 5294
AJAX 3912	NA	NA
AKIMEL 4152	SABRINA 2167	SAMMY 2036
ALEX 5188	GERTRUDE 2201	MOOSE 2045
ALISON 833	NA	NA
ALLIE 5540	LACEY 3915	PERRY 1549
ALLISON UNK	NA	NA
ALPHA 5066	TOPSEY 3745	BABU 2946
ALVIN UNK	NA	NA
AMY 4425	MOLLIE 0235	BIG DADDY 9698
ANGEL 4101	NA	NA
ANGIE 3462	NA	NA
ANN 2722	NA	NA
APHRODITE UNK	NA	NA
APRIL 420	POLLY 1756	SHADOW 1755
ARIEL 6013	GERTRUDE 2201	DALTON 1063
ARMOND 9728	SHUSHU UNK	BOY 2039
ASHLEY 5020	BETH 3001	ROGER 2246
AUSTIN 5803	RHODA 1841	GREMLIN 2601
AXEL 5076	MAE 2242	NA
AYLA 5953	AGATHA 4141	NA
BABU 2946	NA	NA
BAHN 4523	TANG 2169	STU UNK
BAM BAM I UNK	NA	NA
BANDIT 1754	NA	NA
BANZAI 6456	ABBEY 2105	NA
BARASH 3570	NA	NA
BARBIE 4720	BETH 3001	NA
BARNEY 4750	HENRYET 2602	KING 2435
BART 5630	APRIL 420	CORDOVA 2763
BASHFUL 1768	NA	NA
BEA UNK	NA	NA
BECCA 5717	BETSY 1856	NA
BELINDA 1718	NA	NA
BELLA 3733	NA	NA
BERNADETTE 3867	APHRODITE UNK	WALTER UNK
BERNIE 1929	NA	NA
BERTHA 5137	ROSIE 3459	NA
BETA 6039	ALPHA 5066	NA
BETH 3001	NA	NA
BETSY 1856	NA	NA
BETTY 3440	BIDO 1731	ROCK 1730
BIDO 1731	NA	NA
BIG DADDY 9698	NA	NA
BIKIRA 3950	BIDO 1731	LARRY 7760
BILLY 5957	BETTY 3440	PUNCH 4647
BISCHK 5180	APHRODITE UNK	SIMBA 2724
BLUE 5065	HENRYET 2602	ROGER 2246
BO 5951	BASHFUL 1768	KUDZU 4639
